Date,Demand_NR,Demand_WR,Demand_SR,Demand_ER,Demand_NER,Demand_All India,Hydro_NR,Hydro_WR,Hydro_SR,Hydro_ER,Hydro_All India,Solar_NR,Solar_WR,Solar_SR,Solar_ER,Solar_All India,Wind_NR,Wind_WR,Wind_SR,Wind_ER,Wind_NER,Wind_All India
20-Dec-25,69389,77991,58256,24314,2717,229251,124,47,100,19,11,160,161,155,2.1,0.9,2,30,49,0,0,81
21-Dec-25,69585,77021,57260,22839,2783,226534,122,52,88,19,10,152,144,152,2.4,1.1,4,43,69,0,0,115
22-Dec-25,69382,78095,60542,24120,2838,230405,124,52,92,22,11,137,155,140,2.3,1.1,8,62,68,0,0,138
23-Dec-25,69802,78495,60510,23867,2949,231308,119,59,91,20,15,129,162,157,2.3,0.9,13,101,46,0,0,160
24-Dec-25,71642,79568,61666,24425,2937,236096,115,53,87,24,15,176,161,152,2.4,0.6,4,103,50,0,0,156
25-Dec-25,71269,79705,60849,24520,2475,236036,117,39,79,19,15,178,163,156,3.0,0.8,3,60,51,0,0,113
26-Dec-25,72447,80683,62210,24029,2928,239059,116,38,80,17,17,178,163,144,3.1,0.8,4,54,62,0,0,120
27-Dec-25,70298,79856,60303,24260,2963,232606,116,39,80,18,14,161,160,151,3.0,0.8,9,53,70,0,0,132
28-Dec-25,67702,78291,57249,23217,2779,226172,116,39,75,17,14,162,163,148,3.0,0.8,5,51,59,0,0,115
29-Dec-25,71395,79866,60934,24159,2876,236595,114,46,86,20,14,171,160,146,2.5,0.5,3,40,57,0,0,101
30-Dec-25,71907,80743,62688,24270,2966,239690,114,50,100,22,15,169,150,148,2.7,0.4,5,18,29,0,0,52
31-Dec-25,72499,80699,64329,24015,2954,241201,112,54,103,22,15,108,138,131,3.1,0.6,16,42,19,0,0,78
